Name,DateTime,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Time
Monash,04/04/2019,1,2,30,37,42,15,43,24
Florey,04/04/2019,2,12,30,36,22,21,36,24
Monash,04/03/2019,,,,,,,40,24
Florey,04/03/2019,3,14,34,42,19,21,42,24
Florey,04/02/2019,3,12,31,38,16,15,38,24
Monash,04/02/2019,1,11,8,10,11,24,40,24
Florey,04/01/2019,4,8,24,29,13,26,29,24
Monash,04/01/2019,3,8,23,28,10,22,28,24
Monash,03/31/2019,2,11,22,27,8,10,27,24
Florey,03/31/2019,2,9,21,27,10,18,27,24
Monash,03/30/2019,1,5,26,32,23,35,35,24
Florey,03/30/2019,2,5,25,31,28,28,31,24
Monash,03/29/2019,3,17,38,44,38,47,47,24
Florey,03/29/2019,5,15,34,40,48,45,48,24
Florey,03/28/2019,4,23,41,50,41,36,50,24
Monash,03/28/2019,2,22,41,50,35,37,50,24
Monash,03/27/2019,1,8,33,41,43,21,43,24
Florey,03/27/2019,2,10,35,43,53,28,53,24
Monash,03/26/2019,0,9,31,38,75,16,75,24
Florey,03/26/2019,1,10,29,35,59,29,59,24
Florey,03/25/2019,2,1,31,38,26,24,38,24
Monash,03/25/2019,1,2,31,38,27,22,38,24
Florey,03/24/2019,5,15,32,39,30,36,39,24
Monash,03/24/2019,3,13,31,38,28,29,38,24
Monash,03/23/2019,3,20,35,40,18,20,40,24
Florey,03/23/2019,5,20,37,45,20,24,45,24
Monash,03/22/2019,2,13,38,46,13,13,46,24
Florey,03/22/2019,2,13,36,44,11,10,44,24
Florey,03/21/2019,2,5,29,35,11,11,35,24
Monash,03/21/2019,1,7,32,38,9,11,38,24
Florey,03/20/2019,3,10,39,47,11,12,47,24
Monash,03/20/2019,2,8,28,35,9,11,35,24
Florey,03/19/2019,2,6,36,45,14,12,45,24
Monash,03/19/2019,1,8,34,41,8,10,41,24
Monash,03/18/2019,1,10,30,36,11,8,36,24
Florey,03/18/2019,2,9,32,38,17,17,38,24
Florey,03/17/2019,1,0,21,26,19,18,26,24
Monash,03/17/2019,1,0,22,27,9,6,27,24
Monash,03/16/2019,1,1,24,30,23,34,34,24
Florey,03/16/2019,1,1,24,30,28,40,40,24
Monash,03/15/2019,1,1,36,43,29,31,43,24
Florey,03/15/2019,2,2,36,44,38,41,44,24
Florey,03/14/2019,2,12,38,46,40,42,46,24
Monash,03/14/2019,1,6,37,44,35,34,44,24
Monash,03/13/2019,1,2,25,31,31,39,39,24
Florey,03/13/2019,1,1,27,32,39,27,39,24
Monash,03/12/2019,1,12,34,41,21,23,41,24
Florey,03/12/2019,3,12,33,41,28,23,41,24
Florey,03/11/2019,2,9,44,53,29,23,53,24
Monash,03/11/2019,1,12,40,49,24,27,49,24
Florey,03/10/2019,2,3,34,42,31,30,42,24
Monash,03/10/2019,2,7,36,44,27,32,44,24
Monash,03/09/2019,2,16,33,40,29,30,40,24
